service_id,date,exception_type
4649:GVB:48:W:WE,20170331,1
4649:GVB:48:W:WE,20170403,1
4649:GVB:48:W:WE,20170404,1
4649:GVB:48:W:WE,20170405,1
4649:GVB:48:W:WE,20170406,1
4649:GVB:48:W:WE,20170407,1
4649:GVB:48:W:WE,20170410,1
4649:GVB:48:W:WE,20170411,1
4649:GVB:48:W:WE,20170412,1
4649:GVB:48:W:WE,20170413,1
4649:GVB:48:W:WE,20170414,1
4649:GVB:48:W:WE,20170417,1
4649:GVB:48:W:WE,20170418,1
4649:GVB:48:W:WE,20170419,1
4649:GVB:48:W:WE,20170420,1
4649:GVB:48:W:WE,20170421,1
4649:GVB:48:W:WE,20170424,1
4649:GVB:48:W:WE,20170425,1
4649:GVB:48:W:WE,20170426,1
4649:GVB:48:W:WE,20170427,1
4649:GVB:48:W:WE,20170428,1
4649:GVB:48:W:WE,20170501,1
4649:GVB:48:W:WE,20170502,1
4649:GVB:48:W:WE,20170503,1
4649:GVB:48:W:WE,20170504,1
4649:GVB:48:W:WE,20170505,1
4649:GVB:48:W:WE,20170508,1
4649:GVB:48:W:WE,20170509,1
4649:GVB:48:W:WE,20170510,1
4649:GVB:48:W:WE,20170511,1
4649:GVB:48:W:WE,20170512,1
4649:GVB:48:W:WE,20170515,1
4649:GVB:48:W:WE,20170516,1
4649:GVB:48:W:WE,20170517,1
4649:GVB:48:W:WE,20170518,1
4649:GVB:48:W:WE,20170519,1
4649:GVB:48:W:WE,20170522,1
4649:GVB:48:W:WE,20170523,1
4649:GVB:48:W:WE,20170524,1
4649:GVB:48:W:WE,20170525,1
4649:GVB:48:W:WE,20170526,1
4649:GVB:48:W:WE,20170529,1
4649:GVB:48:W:WE,20170530,1
4649:GVB:48:W:WE,20170531,1
4649:GVB:48:W:WE,20170601,1
4649:GVB:48:W:WE,20170602,1
4649:GVB:48:W:WE,20170605,1
4649:GVB:48:W:WE,20170606,1
4649:GVB:48:W:WE,20170607,1
4649:GVB:48:W:WE,20170608,1
4649:GVB:48:W:WE,20170609,1
4649:GVB:48:W:WE,20170612,1
4649:GVB:48:W:WE,20170613,1
4649:GVB:48:W:WE,20170614,1
4649:GVB:48:W:WE,20170615,1
4649:GVB:48:W:WE,20170616,1
4649:GVB:48:W:WE,20170619,1
4649:GVB:48:W:WE,20170620,1
4649:GVB:48:W:WE,20170621,1
4649:GVB:48:W:WE,20170622,1
4649:GVB:48:W:WE,20170623,1
4649:GVB:48:W:WE,20170626,1
4649:GVB:48:W:WE,20170627,1
4649:GVB:48:W:WE,20170628,1
4649:GVB:48:W:WE,20170629,1
4649:GVB:48:W:WE,20170630,1
4649:GVB:48:W:WE,20170703,1
4649:GVB:48:W:WE,20170704,1
4649:GVB:48:W:WE,20170705,1
4649:GVB:48:W:WE,20170706,1
4649:GVB:48:W:WE,20170707,1
4649:GVB:48:W:WE,20170710,1
4649:GVB:48:W:WE,20170711,1
4649:GVB:48:W:WE,20170712,1
4649:GVB:48:W:WE,20170713,1
4649:GVB:48:W:WE,20170714,1
4649:GVB:48:W:WE,20170717,1
4649:GVB:48:W:WE,20170718,1
4649:GVB:48:W:WE,20170719,1
4649:GVB:48:W:WE,20170720,1
4649:GVB:48:W:WE,20170721,1
4649:GVB:48:W:WE,20170724,1
4649:GVB:48:W:WE,20170725,1
4649:GVB:48:W:WE,20170726,1
4649:GVB:48:W:WE,20170727,1
4649:GVB:48:W:WE,20170728,1
4649:GVB:48:W:WE,20170731,1
4649:GVB:48:W:WE,20170801,1
4649:GVB:48:W:WE,20170802,1
4649:GVB:48:W:WE,20170803,1
4649:GVB:48:W:WE,20170804,1
4649:GVB:48:W:WE,20170807,1
4649:GVB:48:W:WE,20170808,1
4649:GVB:48:W:WE,20170809,1
4649:GVB:48:W:WE,20170810,1
4649:GVB:48:W:WE,20170811,1
4649:GVB:48:W:WE,20170814,1
4649:GVB:48:W:WE,20170815,1
4649:GVB:48:W:WE,20170816,1
4649:GVB:48:W:WE,20170817,1
4649:GVB:48:W:WE,20170818,1
4649:GVB:48:W:WE,20170821,1
4649:GVB:48:W:WE,20170822,1
4649:GVB:48:W:WE,20170823,1
4649:GVB:48:W:WE,20170824,1
4649:GVB:48:W:WE,20170825,1
4649:GVB:48:W:WE,20170828,1
4649:GVB:48:W:WE,20170829,1
4649:GVB:48:W:WE,20170830,1
4649:GVB:48:W:WE,20170831,1
4649:GVB:48:W:WE,20170901,1
4649:GVB:48:W:WE,20170904,1
4649:GVB:48:W:WE,20170905,1
4649:GVB:48:W:WE,20170906,1
4649:GVB:48:W:WE,20170907,1
4649:GVB:48:W:WE,20170908,1
4649:GVB:48:W:WE,20170911,1
4649:GVB:48:W:WE,20170912,1
4649:GVB:48:W:WE,20170913,1
4649:GVB:48:W:WE,20170914,1
4649:GVB:48:W:WE,20170915,1
4649:GVB:48:W:WE,20170918,1
4649:GVB:48:W:WE,20170919,1
4649:GVB:48:W:WE,20170920,1
4649:GVB:48:W:WE,20170921,1
4649:GVB:48:W:WE,20170922,1
4649:GVB:48:W:WE,20170925,1
4649:GVB:48:W:WE,20170926,1
4649:GVB:48:W:WE,20170927,1
4649:GVB:48:W:WE,20170928,1
4649:GVB:48:W:WE,20170929,1
4649:GVB:48:W:WE,20171002,1
4649:GVB:48:W:WE,20171003,1
4649:GVB:48:W:WE,20171004,1
4649:GVB:48:W:WE,20171005,1
4649:GVB:48:W:WE,20171006,1
4649:GVB:48:W:WE,20171009,1
4649:GVB:48:W:WE,20171010,1
4649:GVB:48:W:WE,20171011,1
4649:GVB:48:W:WE,20171012,1
4649:GVB:48:W:WE,20171013,1
4649:GVB:48:W:WE,20171016,1
4649:GVB:48:W:WE,20171017,1
4649:GVB:48:W:WE,20171018,1
