stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00422,00422,"Amsterdam, Veenendaalplein",52.301559,4.980412,0,stoparea:GVB:00421,,1,,
GVB:00434,00434,"Amsterdam, Bijlmerplein",52.314573,4.950318,0,stoparea:GVB:00434,,0,,
GVB:00436,00436,"Duivendrecht, Industrieweg",52.335328,4.946093,0,stoparea:GVB:00436,,1,,
GVB:00437,00437,"Duivendrecht, Industrieweg",52.335739,4.9454,0,stoparea:GVB:00436,,1,,
GVB:00441,00441,"Amsterdam, Muiderpoortstation",52.360883,4.932539,0,stoparea:GVB:00441,,0,,
GVB:00442,00442,"Diemen, Beukenhorst",52.337591,4.960054,0,stoparea:GVB:00442,,1,,
GVB:00443,00443,"Diemen, Beukenhorst",52.337375,4.960056,0,stoparea:GVB:00442,,1,,
GVB:00444,00444,"Amsterdam, Linnaeusstraat",52.35991,4.9249,0,stoparea:GVB:00014,,0,,
GVB:00445,00445,"Diemen, Schoolstraat",52.338834,4.958325,0,stoparea:GVB:00445,,0,,
GVB:00446,00446,"Diemen, Schoolstraat",52.338674,4.958958,0,stoparea:GVB:00445,,0,,
GVB:00447,00447,"Diemen, Nic. Lublinkstraat",52.337556,4.965468,0,stoparea:GVB:00447,,0,,
GVB:00448,00448,"Diemen, Nic. Lublinkstraat",52.337423,4.966057,0,stoparea:GVB:00447,,0,,
GVB:00449,00449,"Diemen, Diemen (Sniep)",52.336432,4.970204,0,stoparea:GVB:00449,,0,,
GVB:00450,00450,"Diemen, Diemen (Sniep)",52.336734,4.969438,0,stoparea:GVB:00449,,0,,
GVB:00460,00460,"Diemen, Hogeschool InHolland",52.326951,4.960435,0,stoparea:GVB:00460,,1,,
GVB:00461,00461,"Diemen, Hogeschool InHolland",52.326753,4.960437,0,stoparea:GVB:00460,,1,,
GVB:00491,00491,"Amsterdam, Science Park Aer",52.354782,4.952182,0,stoparea:GVB:00491,,1,,
GVB:00492,00492,"Amsterdam, Science Park Aer",52.355207,4.952692,0,stoparea:GVB:00491,,1,,
GVB:00494,00494,"Amsterdam, Science Park Aqua",52.356012,4.954167,0,stoparea:GVB:00494,,1,,
GVB:00497,00497,"Amsterdam, Science Park Aqua",52.356084,4.954136,0,stoparea:GVB:00494,,1,,
GVB:00504,00504,"Diemen, Arent Krijtsstraat",52.339664,4.954355,0,stoparea:GVB:00504,,0,,
